AUDIT DE MATCHING - Evangelion 64
======================================================================

FUNCIONES CON DIFERENCIAS:
----------------------------------------------------------------------


FUNCIONES CON MATCH:
----------------------------------------------------------------------
0x020E70 | func_800B6270                  |  208 bytes
0x020F40 | func_800B6340                  |   88 bytes
0x020FA0 | func_800B63A0                  |  276 bytes
0x0210B4 | func_800B64B4                  |  440 bytes
0x02126C | func_800B666C                  |  372 bytes
0x0213E0 | func_800B67E0                  |   60 bytes
0x021420 | func_800B6820                  |   56 bytes
0x021460 | func_800B6860                  |   28 bytes
0x021480 | func_800B6880                  |   24 bytes
0x0214A0 | func_800B68A0                  |  116 bytes
0x021520 | func_800B6920                  |  264 bytes
0x021630 | func_800B6A30                  |   36 bytes
0x021660 | func_800B6A60                  |   16 bytes
0x021670 | func_800B6A70                  |   76 bytes
0x0216C0 | func_800B6AC0                  |   52 bytes
0x021700 | func_800B6B00                  |   56 bytes
0x021740 | func_800B6B40                  |   56 bytes
0x021780 | func_800B6B80                  |  196 bytes
0x021850 | func_800B6C50                  |  104 bytes
0x0218C0 | func_800B6CC0                  |   64 bytes
0x021900 | func_800B6D00                  |  192 bytes
0x0219C0 | func_800B6DC0                  | 1008 bytes
0x021DB0 | func_800B71B0                  |  452 bytes
0x021F80 | func_800B7380                  |   60 bytes
0x021FC0 | func_800B73C0                  |   92 bytes
0x022020 | func_800B7420                  |   32 bytes
0x022040 | func_800B7440                  |   32 bytes
0x022060 | func_800B7460                  |   80 bytes
0x0220B0 | func_800B74B0                  |   40 bytes
0x0220D8 | func_800B74D8                  |   64 bytes
